HFO_idx,chanIdx,startTime,stopTime,isValid
87,13,419.807861328125,419.82763671875,0
88,13,479.190185546875,479.221435546875,0
89,14,223.71875,223.7578125,0
90,14,261.3232421875,261.371337890625,0
91,14,291.919189453125,291.9482421875,0
92,14,306.68896484375,306.756103515625,0
93,14,363.828125,363.858154296875,0
94,14,382.4501953125,382.472900390625,0
95,14,388.248046875,388.27001953125,0
96,14,410.472412109375,410.559326171875,0
97,14,418.78857421875,418.85205078125,0
98,14,477.007568359375,477.054443359375,0
99,14,478.0634765625,478.09130859375,0
100,14,552.761474609375,552.790771484375,0
101,15,306.697021484375,306.734375,0
102,31,239.67431640625,239.716064453125,0
103,36,239.674560546875,239.709228515625,0
104,1,853.398681640625,853.43359375,0
105,1,904.5390625,904.552490234375,0
106,1,967.85791015625,967.892822265625,0
107,2,606.38818359375,606.41748046875,0
108,2,783.178955078125,783.2138671875,0
109,2,853.3916015625,853.44677734375,0
110,2,967.855712890625,967.896484375,0
111,2,1023.981689453125,1024.02490234375,0
112,2,1083.578369140625,1083.6025390625,0
113,2,1095.006103515625,1095.041259765625,0
114,2,1106.740478515625,1106.763916015625,0
115,3,848.1826171875,848.214111328125,0
116,3,1070.387939453125,1070.40966796875,0
117,3,1079.810791015625,1079.833740234375,0
118,4,1094.994140625,1095.0224609375,0
119,7,944.15673828125,944.1748046875,0
120,12,702.343505859375,702.359619140625,0
121,12,769.063232421875,769.084716796875,0
122,12,902.470458984375,902.494140625,0
123,12,932.622802734375,932.637451171875,0
124,12,1048.022705078125,1048.049072265625,0
125,12,1053.544677734375,1053.569091796875,0
126,12,1104.88037109375,1104.90087890625,0
127,12,1155.75830078125,1155.780517578125,0
128,11,600.703857421875,600.764892578125,0
129,11,621.8134765625,621.854248046875,0
130,11,644.42578125,644.4501953125,0
131,11,666.989990234375,667.0146484375,0
132,11,674.654052734375,674.675537109375,0
133,11,679.789794921875,679.814697265625,1
134,11,683.026123046875,683.056640625,0
135,11,704.47119140625,704.500732421875,0
136,11,734.114501953125,734.156005859375,0
137,11,747.4912109375,747.51318359375,0
138,11,751.765380859375,751.801513671875,0
139,11,760.982421875,761.013671875,0
140,11,825.094482421875,825.125,0
141,11,829.783203125,829.807861328125,0
142,11,834.17724609375,834.207763671875,0
143,11,847.61572265625,847.65185546875,0
144,11,889.94482421875,889.985107421875,0
145,11,949.068359375,949.092041015625,0
146,11,954.270751953125,954.301025390625,0
147,11,956.333251953125,956.357177734375,0
148,11,960.323486328125,960.347900390625,0
149,11,971.3515625,971.388671875,0
150,11,979.736328125,979.75390625,1
151,11,989.86328125,989.89208984375,0
152,11,1030.8017578125,1030.826416015625,0
153,11,1040.502197265625,1040.52587890625,0
154,11,1064.509765625,1064.534423828125,0
155,11,1070.390869140625,1070.4150390625,0
156,11,1073.224365234375,1073.24853515625,0
157,11,1075.905517578125,1075.930908203125,0
158,11,1079.811279296875,1079.84228515625,1
159,11,1109.964111328125,1109.988525390625,0
160,11,1113.632568359375,1113.655517578125,0
161,11,1115.619873046875,1115.6494140625,0
162,11,1133.1962890625,1133.21630859375,0
163,11,1134.600341796875,1134.634521484375,0
164,11,1137.095458984375,1137.131591796875,0
165,11,1138.71484375,1138.748779296875,0
166,11,1149.357666015625,1149.38818359375,0
167,11,1155.75830078125,1155.798583984375,0
168,11,1165.179931640625,1165.220458984375,0
169,11,1175.8623046875,1175.88525390625,0
170,11,1181.189453125,1181.224365234375,0
171,11,1188.438232421875,1188.478515625,0
172,11,1192.010986328125,1192.04638671875,0
173,11,1195.24609375,1195.275146484375,0
174,11,1197.542236328125,1197.5771484375,0
175,13,781.2890625,781.30810546875,0
176,13,848.19580078125,848.230712890625,0
177,13,889.94970703125,889.968017578125,0
178,13,1138.72412109375,1138.7421875,0
179,13,1188.446533203125,1188.4658203125,0
180,14,667.80322265625,667.83935546875,0
181,14,672.8330078125,672.8505859375,0
182,14,712.12890625,712.15380859375,0
183,14,747.00146484375,747.03271484375,0
184,14,781.278076171875,781.31396484375,0
185,14,848.186279296875,848.210205078125,0
186,14,967.86474609375,967.90625,0
187,14,989.875,989.898681640625,0
188,14,1022.31201171875,1022.333984375,0
189,14,1023.983642578125,1024.020263671875,0
190,14,1075.318115234375,1075.359619140625,0
191,14,1095.038330078125,1095.07177734375,0
192,14,1119.539306640625,1119.56201171875,1
193,38,631.5712890625,631.585205078125,0
194,38,996.37548828125,996.393798828125,0
195,2,1225.7490234375,1225.76806640625,0
196,2,1269.21240234375,1269.2421875,0
197,2,1315.68505859375,1315.709228515625,0
198,2,1321.108154296875,1321.132568359375,0
199,2,1325.942138671875,1325.9658203125,0
200,2,1404.984130859375,1405.00244140625,0
201,2,1437.407958984375,1437.44287109375,0
202,2,1470.145263671875,1470.19140625,0
203,2,1500.237060546875,1500.268310546875,0
204,2,1537.897705078125,1537.92724609375,0
205,2,1567.742919921875,1567.789794921875,0
206,2,1569.77392578125,1569.804931640625,0
207,2,1578.67333984375,1578.749755859375,0
208,2,1580.18994140625,1580.23193359375,0
209,2,1607.981201171875,1608.00048828125,0
210,2,1609.3212890625,1609.344482421875,0
211,2,1623.072509765625,1623.095703125,0
212,2,1660.126708984375,1660.15673828125,0
213,2,1671.366455078125,1671.41064453125,0
214,2,1673.21240234375,1673.231689453125,0
215,2,1691.9052734375,1691.95654296875,0
216,2,1692.97265625,1692.99609375,0
217,2,1704.67333984375,1704.6962890625,0
218,2,1709.339111328125,1709.369140625,0
219,2,1726.94140625,1726.9697265625,0
220,2,1736.855224609375,1736.87841796875,0
221,2,1743.16064453125,1743.178955078125,0
222,2,1759.971435546875,1759.99560546875,0
223,5,1535.54345703125,1535.572998046875,0
224,5,1539.837158203125,1539.896240234375,0
225,5,1578.677978515625,1578.708251953125,0
226,5,1694.551025390625,1694.57275390625,0
227,5,1704.64404296875,1704.700927734375,0
228,4,1436.692138671875,1436.714111328125,0
229,4,1464.552490234375,1464.58251953125,0
230,4,1539.843994140625,1539.865966796875,0
231,4,1569.75732421875,1569.780029296875,0
232,4,1691.915283203125,1691.933837890625,0
233,4,1724.875244140625,1724.908447265625,0
234,6,1524.248291015625,1524.259765625,0
235,7,1524.2490234375,1524.28173828125,0
236,7,1525.805419921875,1525.841552734375,0
237,7,1572.795166015625,1572.867919921875,0
238,7,1674.067626953125,1674.090576171875,0
239,11,1209.3076171875,1209.343017578125,0
240,11,1211.70751953125,1211.73779296875,0
241,11,1219.790771484375,1219.818603515625,0
242,11,1220.275146484375,1220.303955078125,0
243,11,1229.150634765625,1229.17919921875,0
244,11,1233.49267578125,1233.516845703125,0
245,11,1254.886962890625,1254.919921875,0
